ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,e_pmRA,e_pmDEC,plx,e_plx,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,contratio,duplicate_id,gaiabp,e_gaiabp,gaiarp,e_gaiarp,e_RA,e_Dec,dstArcSec,moca_aid,moca_mtid,designation,age,eage,sep,n_sectors
590274,71.7063699674948,-26.3024585297271,33.6102,-5.1357,7.4724,STAR,tmgaia2,20190415,0.0605056,0.0760555,12.4165,0.0381007,7.85,0.03,7.099,0.018,6.951,0.031,6.894,0.021,6785.67,113.389,4.31193,0.0875583,nan,nan,1.39716,0.0529045,1.46,0.254178,0.535324,0.119943,DWARF,3.72869015,0.1428525,80.3519,0.24785,0.0,0.000208960191,,7.97387,0.001325,7.4395,0.001404,0.963393253843296,1.17925165319885,0.0,CAR,CM,HD 30447,45.0,9.0,0.00015114491831566922,2.0
615133,72.7659439329332,-27.5197225921501,32.1029,-8.54398,8.0998,STAR,tmgaia2,20190415,0.0406522,0.0477285,12.1043,0.0258331,8.58,0.03,7.624,0.023,7.403,0.038,7.319,0.023,6241.0,125.562,4.34393,0.0856548,nan,nan,1.22592,0.0535628,1.21,0.1797,0.656754,0.150762,DWARF,2.054156,0.06633135,82.4185,0.1768,0.0,0.02839815,,8.73763,0.001776,8.05813,0.001405,0.648983500219782,0.740163640920229,0.0,COL,CM,HD 30984,42.0,5.0,0.0001430323312498319,1.0
671393,73.4001984506413,-28.5930784846966,38.3767,-1.75843,12.0373,STAR,tmgaia2,20190415,2.4715,2.47152,nan,nan,15.477,0.069,10.174,0.024,9.606,0.024,9.301,0.021,3096.0,157.0,4.69547,0.0166595,nan,nan,0.548227,0.0232088,0.543657,0.0251855,3.29947,0.267052,DWARF,0.0248782225,0.00720732054,nan,nan,nan,1.19737983,,15.3347,0.00457,12.1484,0.002217,39.5366147097858,38.3129535303634,0.0,COL,CM,UCAC3 123-12808,42.0,5.0,0.00016540637726224054,1.0
1028816,33.8389150325912,-7.12628464915817,5.80057,-7.88527,8.43709,STAR,tmgaia2,20190415,0.0919449,0.0813872,8.36088,0.0515564,8.84,0.03,8.044,0.02,7.904,0.038,7.873,0.023,6744.45,142.536,4.33284,0.0952648,-0.064,0.01,1.35455,0.0640704,1.44,0.254854,0.579403,0.146134,DWARF,3.42033648,0.1420385,119.199,0.738,0.00897759,6.85630448e-06,,8.95123,0.001862,8.39784,0.001939,1.42862211847048,1.26204945039769,0.0,PERI,HM,HD 13916,120.0,0.0,4.350910851080426e-05,1.0
1223040,71.6202708213217,-34.8679584793908,-8.12483,23.3409,13.9018,STAR,tmgaia2,20190415,0.0943438,0.155838,10.4787,0.057117,nan,nan,12.154,0.026,11.544,0.022,11.289,0.023,3172.0,157.0,4.83838,0.00281941,nan,nan,0.387318,0.0117428,0.377095,0.0204047,6.49005,0.238993,DWARF,0.0136824157,0.0035598625,95.1733,0.52125,0.0,0.001974405,,17.0232,0.007267,13.9992,0.002947,1.53326640737526,2.41621162337456,0.0,OCT,CM,2MASS J04462885-3452047,35.0,5.0,0.00010982270559973438,3.0
1518580,75.3074330485337,-35.8457810850497,-11.5986,18.8546,12.952,STAR,tmgaia2,20190415,0.0566836,0.066684,10.3011,0.036956,15.302,0.06,11.452,0.026,10.885,0.024,10.61,0.019,3419.0,157.0,4.7426,0.00787796,nan,nan,0.494073,0.0146576,0.492168,0.0202715,4.08075,0.195289,DWARF,0.0300519988,0.007342107,96.807,0.34895,0.0,0.002998066,,15.536,0.003804,13.011,0.001923,0.923834631655734,1.03414896519625,0.0,OCT,CM,2MASS J05011378-3550447,35.0,5.0,9.839217721638951e-05,2.0
2743109,246.243093586675,-48.6013931032821,-18.1849,-32.6277,7.9831,STAR,tmgaia2,20190415,0.0928066,0.0487936,8.14417,0.0564443,8.25,0.002,7.671,0.021,7.548,0.034,7.483,0.024,7431.0,132.665,4.28337,0.0815194,nan,nan,1.55803,0.0533065,1.7,0.275342,0.449492,0.0943552,DWARF,6.668606,0.291654,122.363,0.8515,0.0560798,0.06301211,,8.38058,0.00311,7.94511,0.001889,1.57915321139034,0.756912439394398,0.0,UCL,BF,HD 147558,16.0,2.0,0.00016606500785122056,4.0
2850290,80.768014239424,30.4831950673735,13.6329,-40.6328,14.118,STAR,tmgaia2,20190415,0.133764,0.0968053,7.65481,0.0798413,16.728,1.133,12.425,0.023,11.808,0.023,11.573,0.021,3241.0,157.0,4.78666,0.00635983,nan,nan,0.444234,0.0136563,0.440364,0.0206194,5.02315,0.228177,DWARF,0.0196170826,0.00503676524,130.17,1.3635,0.0119097,0.125770658,,17.0829,0.012799,14.2039,0.003772,2.15006228315282,1.50163584628458,0.0,SAPER,HM,Gaia DR2 3446657108391160576,79.0,1.9,0.00019051658562291014,3.0
3084844,243.904804984162,-41.649657621675,-19.0718,-28.6163,8.4493,STAR,tmgaia2,20190415,0.102108,0.0561415,7.499,0.0491853,8.84,0.03,8.047,0.024,7.904,0.024,7.839,0.033,6680.79,111.091,4.10897,0.083865,nan,nan,1.73444,0.0720503,1.41,0.224917,0.270236,0.0589592,DWARF,5.399123,0.278368,132.848,0.875,0.107968,0.0256258529,,8.9615,0.001273,8.40439,0.001182,1.69387638329463,0.870515083712711,0.0,UCL,HM,HD 145984,16.0,2.0,0.00015291010486899787,4.0
3243257,244.811733222423,-40.8208543853772,-11.0632,-21.4987,8.5019,STAR,tmgaia2,20190415,0.107824,0.0731493,6.36921,0.0616984,8.928,0.002,7.982,0.023,7.809,0.024,7.74,0.02,6985.0,138.08,4.09669,0.0884392,nan,nan,1.83246,0.0696483,1.53,0.273421,0.248648,0.0578842,DWARF,7.201635,0.3779655,156.321,1.519,0.126971,0.0136638386,,9.09264,0.00246,8.45475,0.001833,1.78391389145249,1.13421720629669,0.0,UCL,CM,HD 146681,16.0,2.0,0.00010740754132421922,4.0
